BANCO,PAGINA WEB DEL BANCO,TELEFONO,LINEA 0800
(311) Nuevo Banco del Chaco,www.nbch.com.ar,Casa Central: (0362) 4580300 - 4580400 - 4579000 / Por WhatsApp: (0362) 4161290,
(315) Banco de Formosa SA,www.bancoformosa.com.ar,Casa Central - Formosa: 0370-429430 / 0370-429430 / 0810-777-5423 / Suc. Buenos Aires: (011) 4322-8651,0800-777-2262
(322) Banco Industrial,www.zafiro.bind.com.ar,0810-666-0505,
(330) Banco Santa Fe,www.bancosantafe.com.ar,"0341-4294145 / 0341-4294142 (informar este numero solo en caso de excepcion, en primer lugar informar siempre la linea 0800)",0800-444-6273 (Contact Center)
(389) Columbia,www.secure.bancocolumbia.com.ar/web,0810-222-0222,0800-222-0224
(405) BST - Credilogros,www.bst.com.ar,0810-222-5555,
(121 - 421) Provencred,www.provencred.com.ar,0810-555-2000,
(511) Banco de la Nacion Argentina,www.bna.com.ar,0810-888-1212 / 0810-666-4444/ 4347 - 6000,
(516) Citibank (Commercial Cards),www.citibank.com/icg/sa/latam/argentina,0800-999-2274,
(020 - 220) Provincia de Cordoba (BANCOR),www.bancor.com.ar,"0810-222-6267 (Standard, Gold y Platinum) / 0810-777-2663 (Black)",
(029) Banco Ciudad de Buenos Aires,www.bancociudad.com.ar,4325-3271 al 75,0800-222-0400
(065) Banco Municipal de Rosario,www.bmros.com.ar,0341-4256666,
(066) Consumax - Banco Municipal de Rosario,www.bmros.com.ar,0810-777-3227 / (0345) 422-8400,
(083) Banco del Chubut,www.bancochubut.com.ar,02965-452372 / 0810-333-0221,
(087) Banco Santiago del Estero,www.bse.com.ar,0385-4502300,0800-777-27372
(093) Banco de la Pampa,www.bancodelapampa.com.ar,02954-451000 / 0810-222-2257,
(094) Banco de Corrientes,www.bancodecorrientes.com.ar,0810-444-2262,
(097) Banco Provincia de Neuquen,www.bpn.com.ar,0299-4496690,0800-999-3338
(268) Banco de Tierra del Fuego / (468) Banco Fueguino / (469) Visa Vale Social - Banco Tierra del Fuego,www.btf.com.ar,0810-999-7470 (opcion 1),
(309) Nuevo Banco de la Rioja,www.bancorioja.com.ar,03822-430575,
(488) Caja Popular de Tucuman,,0381-4507104,
(331) Banco Cetelem (Red Aura),www.cetelem.com.ar,Capital Federal y Gran Buenos Aires: 4796-8787. Interior: 0810-122-8787.,
(411) Agronacion,www.agronacion.com.ar,Denuncias: 4379-3240. / 0810-666-2476 (AGRO) / Alternativos 4347-8697 /8051 /8054 /8060 /8745,
(415) Galicia Rural,www.bancogalicia.com/banca/online/web/Rural,0-810-444-6500 (de lunes a viernes de 8 a 22 horas),0-800-888-4254
(413) Pactar - (414) Procampo,www.bancoprovincia.com.ar/agro/agro_procampo,0810-222-2776,
(425 - 450 Visa / 640 Amex) Tarjeta Naranja,www.naranja.com,Socios: 0810-333-6272 (para transferencia directa: #3050). Desde el exterior: 54 351-570-8979.,
(455) Nevada,,0810-333-9496 (transferencia directa #3061). Casa central (0261) 441-5000,
(499) Tarjetas del Mar,www.secure.tarjetalaanonima.com.ar,0810-555-0222 /3754-7600,
(418 - 422) Banco Provincia Visa Vale Social - Alimentos,,0810-222-2776 (call center bancario).,0800-222-2776 (IVR: consulta de Saldo y movimientos)
(467) Visa Vale Social (Alimentos)- Banco del Tucuman,,Siprosa: 427-7777,
(567) Macro - Visa Vale Social (Alimentos),,,0800-777-4477
(590) COTO - TAF,,Telefono para consultas: 0810-999-3900 (atencion por IVR) / Telefono para denuncias: 4379- 6343,
(591) Carrefour - TAF,,Telefono para consultas: 0810-122-7788 (atencion por IVR) / Telefono para denuncias: 4379-2404,
(341) Mas Ventas,www.bancomasventas.com.ar,En Salta: 0387-4268200. En Jujuy: 0388-4236866 / 4232856.,
(431) COINAG,www.bancocoinag.com,0341-4229000 (de lunes a viernes de 10 a 15 horas),
(609) Rebanking,www.reba.com.ar,0810-345-5588,
(426) Banco BICA,www.bancobica.com.ar,(0342) 4502024,Servicios al cliente: 0800-777-0053 / Consultas generales: 0800-888-1110
(310) Banco del Sol,www.bancodelsol.com,Telefono Whatsapp: +54 11 5984 2523 / Mail: asistencia@bancodelsol.com,0800-333-3237
(532 - Mastercard) BSF Carrefour,www.bancodeserviciosfinancieros.com.ar,0810-122-7788,
